date,country,commodities,commodities_excl_energy,energy,minerals,forestry,agriculture,fish,age,male,militarycareer,tenure_months,government,anticipation,ref_ant,leg_ant,exec_ant,irreg_lead_ant,election_now,election_recent,leg_recent,exec_recent,lead_recent,ref_recent,direct_recent,indirect_recent,victory_recent,defeat_recent,change_recent,nochange_recent,delayed,lastelection,loss,irregular,prev_conflict,pt_suc,pt_attempt,precip,global_policy_uncertainty_current,couprisk,pctile_risk,relative_risk_classification
1/1/1997,Angola,313.45,254.08,609.35,285.31,341.36,170.16,870.14,55,1,0,209,Dominant Party,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.970291853,5.54517746,3.970291853,1,0,0,-0.414749146,79.93589816,0.001705101,0.722512543,High
1/1/1997,Algeria,313.45,254.08,609.35,285.31,341.36,170.16,870.14,56,1,1,37,Military,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.708050251,4.564348221,2.708050251,1,0,0,0.701643109,79.93589816,0.001822458,0.735982895,High
1/1/1997,South Africa,313.45,254.08,609.35,285.31,341.36,170.16,870.14,79,1,0,33,Parliamentary Democracy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.526360512,3.526360512,3.526360512,0,0,0,0.988168895,79.93589816,0.001837309,0.737153351,High
1/1/1997,Uganda,313.45,254.08,609.35,285.31,341.36,170.16,870.14,53,1,0,133,Personal Dictatorship,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.197224617,5.267858028,2.197224617,1,0,0,0.07549572,79.93589816,0.001940203,0.746958375,High
1/1/1997,Guinea Bissau,313.45,254.08,609.35,285.31,341.36,170.16,870.14,58,1,1,195,Personal Dictatorship,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.401197433,5.272999287,3.401197433,0,0,0,0.046350028,79.93589816,0.002256377,0.771537721,High
1/1/1997,Liberia,313.45,254.08,609.35,285.31,341.36,170.16,870.14,58,0,0,5,Warlordism,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.343805313,4.343805313,4.343805313,0,0,0,-0.278438956,79.93589816,0.002272123,0.772564411,High
1/1/1997,Malawi,313.45,254.08,609.35,285.31,341.36,170.16,870.14,54,1,0,33,Presidential Democracy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.496507645,3.496507645,3.496507645,0,0,0,0.094469406,79.93589816,0.002637103,0.796147823,High
1/1/1997,Congo-Brz,313.45,254.08,609.35,285.31,341.36,170.16,870.14,66,1,0,54,Presidential Democracy,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.988984108,3.988984108,3.988984108,0,0,0,-0.685062766,79.93589816,0.002679104,0.798324406,High
1/1/1997,Burkina Faso,313.45,254.08,609.35,285.31,341.36,170.16,870.14,46,1,1,112,Personal Dictatorship,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.127134323,4.718498707,4.127134323,0,0,0,-0.39200449,79.93589816,0.002773798,0.803991854,High
1/1/1997,Togo,313.45,254.08,609.35,285.31,341.36,170.16,870.14,60,1,1,358,Personal Dictatorship,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.737669706,3.970291853,3.737669706,0,0,0,0.016008932,79.93589816,0.003073801,0.820121348,High
1/1/1997,Gambia,313.45,254.08,609.35,285.31,341.36,170.16,870.14,32,1,1,31,Personal Dictatorship,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,1,0,1.609437943,1.791759491,1.609437943,0,0,0,-0.046831764,79.93589816,0.003093026,0.821035147,High
1/1/1997,Zimbabwe,313.45,254.08,609.35,285.31,341.36,170.16,870.14,73,1,0,203,Dominant Party,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.397895336,5.318120003,4.418840408,0,0,0,0.976984978,79.93589816,0.003336674,0.83246237,High
1/1/1997,Equatorial Guinea,313.45,254.08,609.35,285.31,341.36,170.16,870.14,55,1,1,210,Personal Dictatorship,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.484906673,5.831882477,5.159055233,0,0,0,-0.643357813,79.93589816,0.003411327,0.83618927,High
1/1/1997,Mozambique,313.45,254.08,609.35,285.31,341.36,170.16,870.14,58,1,0,123,Dominant Party,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33220458,5.564520359,3.33220458,0,0,0,0.585022032,79.93589816,0.00429838,0.872000754,High
1/1/1997,Ghana,313.45,254.08,609.35,285.31,341.36,170.16,870.14,50,1,1,182,Presidential Democracy,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0.693147182,4.060442924,3.931825638,0,0,0,0.274222374,79.93589816,0.004402153,0.875789285,High
1/1/1997,Lesotho,313.45,254.08,609.35,285.31,341.36,170.16,870.14,79,1,0,29,Parliamentary Democracy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.850147486,3.850147486,3.850147724,0,0,0,1.14466989,79.93589816,0.00519991,0.900861382,High
1/1/1997,Cameroon,313.45,254.08,609.35,285.31,341.36,170.16,870.14,64,1,0,171,Personal Dictatorship,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.951243639,5.087596416,5.056245804,0,0,0,-0.47311759,79.93589816,0.005218533,0.901385009,High
1/1/1997,Benin,313.45,254.08,609.35,285.31,341.36,170.16,870.14,64,1,1,10,Presidential Democracy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.397895336,4.262680054,4.262680054,0,0,0,0.022409452,79.93589816,0.00530978,0.903838873,High
1/1/1997,Sudan,313.45,254.08,609.35,285.31,341.36,170.16,870.14,53,1,1,92,Personal Dictatorship,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.397895336,4.867534637,2.397895336,1,0,0,-0.457378119,79.93589816,0.005582012,0.910214663,High
1/1/1997,Mauritania,313.45,254.08,609.35,285.31,341.36,170.16,870.14,56,1,1,146,Personal Dictatorship,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.110873699,4.204692841,4.110873699,0,0,0,-0.742571115,79.93589816,0.006256584,0.925255895,High
1/1/1997,Cen African Rep,313.45,254.08,609.35,285.31,341.36,170.16,870.14,60,1,0,40,Presidential Democracy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.258096457,3.713572025,3.258096457,0,0,0,-0.105758138,79.93589816,0.006491844,0.929619372,High
1/1/1997,Chad,313.45,254.08,609.35,285.31,341.36,170.16,870.14,45,1,1,74,Personal Dictatorship,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,1.945910096,4.304065228,1.945910096,0,0,0,-0.859368801,79.93589816,0.006844372,0.935851514,High
1/1/1997,Congo/Zaire,313.45,254.08,609.35,285.31,341.36,170.16,870.14,67,1,1,375,Personal Dictatorship,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.017279625,6.089045048,5.648974419,1,0,0,-0.049473826,79.93589816,0.006888855,0.936631799,High
1/1/1997,Guinea,313.45,254.08,609.35,285.31,341.36,170.16,870.14,63,1,1,154,Personal Dictatorship,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.637586117,4.304065228,3.637586117,0,0,0,-0.201124921,79.93589816,0.007846923,0.94993788,High
1/1/1997,Rwanda,313.45,254.08,609.35,285.31,341.36,170.16,870.14,40,1,1,31,Party-Military,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.584967613,6.052089214,4.584967613,0,0,0,-0.042684738,79.93589816,0.008276864,0.954886615,High
1/1/1997,Niger,313.45,254.08,609.35,285.31,341.36,170.16,870.14,48,1,1,13,Personal Dictatorship,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,1.945910096,2.197224617,1.945910096,0,0,0,0.209161311,79.93589816,0.011487015,0.9816733,High
1/1/1997,Madagascar,313.45,254.08,609.35,285.31,341.36,170.16,870.14,59,1,0,5,Presidential Democracy,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0.693147182,0.693147182,0.693147182,0,0,0,0.133413792,79.93589816,0.009322427,0.965430856,High
1/1/1997,Comoros,313.45,254.08,609.35,285.31,341.36,170.16,870.14,61,1,0,11,Provisional - Civilian,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1.386294365,2.397895336,1.386294365,0,0,0,-0.261491805,79.93589816,0.009510615,0.967063308,High
1/1/1997,Mali,313.45,254.08,609.35,285.31,341.36,170.16,870.14,51,1,0,56,Presidential Democracy,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.060442924,4.060442924,4.060442924,0,0,0,-0.25183776,79.93589816,0.01054145,0.975636303,High
1/1/1997,Nigeria,313.45,254.08,609.35,285.31,341.36,170.16,870.14,54,1,1,39,Military-Personal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.784189701,3.784189701,3.784189701,0,0,0,-0.399892777,79.93589816,0.011800038,0.983572721,High
1/1/1997,Burundi,313.45,254.08,609.35,285.31,341.36,170.16,870.14,48,1,1,7,Military-Personal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.784189701,3.784189701,3.784189701,1,0,0,-0.119716175,79.93589816,0.021544909,1.011858463,High
1/1/1997,Sierra Leone,313.45,254.08,609.35,285.31,341.36,170.16,870.14,65,1,0,11,Presidential Democracy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.397895336,2.397895336,2.397895336,1,0,0,-0.065969259,79.93589816,0.032542299,1.019712687,High
2/1/1997,Comoros,296.12,252.33,517.34,289.13,339.26,165.9,822.91,61,1,0,12,Provisional - Civilian,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1.609437943,2.484906673,1.609437943,0,0,0,-0.754262149,82.37198167,0.01033566,0.974188626,High
2/1/1997,Burundi,296.12,252.33,517.34,289.13,339.26,165.9,822.91,48,1,1,8,Military-Personal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.80666256,3.80666256,3.80666256,1,0,0,-0.287608027,82.37198167,0.021672817,1.012012482,High
2/1/1997,Mali,296.12,252.33,517.34,289.13,339.26,165.9,822.91,51,1,0,57,Presidential Democracy,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.077537537,4.077537537,4.077537537,0,0,0,-0.292170107,82.37198167,0.011043882,0.979106545,High
2/1/1997,Niger,296.12,252.33,517.34,289.13,339.26,165.9,822.91,48,1,1,14,Personal Dictatorship,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.079441547,2.302585125,2.079441547,0,0,0,0.214217916,82.37198167,0.011842356,0.983747244,High
2/1/1997,Lesotho,296.12,252.33,517.34,289.13,339.26,165.9,822.91,79,1,0,30,Parliamentary Democracy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.871201038,3.871201038,3.871201038,0,0,0,0.091178015,82.37198167,0.013313768,0.99150914,High
2/1/1997,Ghana,296.12,252.33,517.34,289.13,339.26,165.9,822.91,50,1,1,183,Presidential Democracy,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,1.098612309,4.077537537,3.951243639,0,0,0,0.117415413,82.37198167,0.001724152,0.724740505,High
2/1/1997,Angola,296.12,252.33,517.34,289.13,339.26,165.9,822.91,55,1,0,210,Dominant Party,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.988984108,5.54907608,3.988984108,1,0,0,-0.275134146,82.37198167,0.001758534,0.728683054,High
2/1/1997,South Africa,296.12,252.33,517.34,289.13,339.26,165.9,822.91,79,1,0,34,Parliamentary Democracy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.555348158,3.555348158,3.555348158,0,0,0,0.300202191,82.37198167,0.001906845,0.743847489,High
2/1/1997,Algeria,296.12,252.33,517.34,289.13,339.26,165.9,822.91,56,1,1,38,Military,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.77258873,4.574710846,2.77258873,1,0,0,0.135269418,82.37198167,0.002001034,0.752861917,High
2/1/1997,Uganda,296.12,252.33,517.34,289.13,339.26,165.9,822.91,53,1,0,134,Personal Dictatorship,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.302585125,5.272999763,2.302585125,1,0,0,-0.191581786,82.37198167,0.002029544,0.755141199,High
2/1/1997,Cameroon,296.12,252.33,517.34,289.13,339.26,165.9,822.91,64,1,0,172,Personal Dictatorship,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.970291853,5.09375,5.062594891,0,0,0,-0.682822108,82.37198167,0.002053722,0.757122755,High
2/1/1997,Sierra Leone,296.12,252.33,517.34,289.13,339.26,165.9,822.91,65,1,0,12,Presidential Democracy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.484906673,2.484906673,2.484906673,1,0,0,-0.148885429,82.37198167,0.035317916,1.020462275,High
2/1/1997,Mozambique,296.12,252.33,517.34,289.13,339.26,165.9,822.91,58,1,0,124,Dominant Party,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.367295742,5.568344593,3.367295742,0,0,0,0.305217683,82.37198167,0.001539215,0.701013386,High
2/1/1997,Ivory Coast,296.12,252.33,517.34,289.13,339.26,165.9,822.91,63,1,0,39,Dominant Party,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.833213329,6.086774826,2.833213329,0,0,0,-0.269326806,82.37198167,0.001543789,0.701588333,High
2/1/1997,Morocco,296.12,252.33,517.34,289.13,339.26,165.9,822.91,68,1,0,433,Monarchy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.988984108,3.988984108,3.988984108,0,0,0,0.761075795,82.37198167,0.001671242,0.718354404,High
2/1/1997,Equatorial Guinea,296.12,252.33,517.34,289.13,339.26,165.9,822.91,55,1,1,211,Personal Dictatorship,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.564949274,5.834810734,5.164785862,0,0,0,-0.98426193,82.37198167,0.00326633,0.829207718,High
2/1/1997,Guinea,296.12,252.33,517.34,289.13,339.26,165.9,822.91,63,1,1,155,Personal Dictatorship,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.663561583,4.317488194,3.663561583,0,0,0,-0.239926308,82.37198167,0.003611029,0.844793081,High
2/1/1997,Cape Verde,296.12,252.33,517.34,289.13,339.26,165.9,822.91,48,1,0,71,Parliamentary Democracy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.708050251,4.304065228,4.304065228,0,0,0,0.015977614,82.37198167,0.003817903,0.853838325,High
2/1/1997,Ethiopia,296.12,252.33,517.34,289.13,339.26,165.9,822.91,42,1,0,70,Dominant Party,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.091042519,4.248495102,3.091042519,0,0,0,0.69198823,82.37198167,0.004441508,0.877052128,High
2/1/1997,Madagascar,296.12,252.33,517.34,289.13,339.26,165.9,822.91,59,1,0,6,Presidential Democracy,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1.098612309,1.098612309,1.098612309,0,0,0,0.171889693,82.37198167,0.005238225,0.901908636,High
2/1/1997,Zambia,296.12,252.33,517.34,289.13,339.26,165.9,822.91,54,1,0,64,Dominant Party,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,1.386294365,4.174387455,5.826000214,0,0,0,-0.243683964,82.37198167,0.005681321,0.912719846,High
2/1/1997,Benin,296.12,252.33,517.34,289.13,339.26,165.9,822.91,64,1,1,11,Presidential Democracy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.484906673,4.276666164,4.276666164,0,0,0,-0.021242438,82.37198167,0.002139709,0.763478041,High
2/1/1997,Mauritania,296.12,252.33,517.34,289.13,339.26,165.9,822.91,56,1,1,147,Personal Dictatorship,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.127134323,4.219507694,4.127134323,0,0,0,-0.899778605,82.37198167,0.002416789,0.782656908,High
2/1/1997,Congo-Brz,296.12,252.33,517.34,289.13,339.26,165.9,822.91,66,1,0,55,Presidential Democracy,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.007333279,4.007333279,4.007333279,0,0,0,-1.1251719,82.37198167,0.002659369,0.797236085,High
